# Multipart POST rows for `/update/extract` (issue #258).
#
# Columns: name<TAB>status<TAB>url<TAB>part-name<TAB>input-file<TAB>mime
#
# `url` is core-relative like `manifest-errors.tsv` (everything after
# `/solr/`), never a bare GET (hence this file being separate from
# `manifest.tsv`, which is core-relative GETs only per CLAUDE.md) and never a
# JSON body (hence separate from `manifest-errors.tsv`, whose runner models
# JSON bodies). `input-file` names a file under `solr-ref/extract-inputs/`;
# `mime` is the declared `Content-Type` of the multipart file part, and may be
# empty (defaults to `application/octet-stream`, matching `capture.sh`'s own
# `cap_extract`/`cap_extract258` default).
#
# Every row's part name is `file`, matching every capture in
# `solr-ref/capture.sh`'s #171 and #258 blocks.
#
# `extract_html_index`/`extract_html_select` (the indexing-path captures) stay
# out of this file: they are not extractOnly responses (bare `responseHeader` /
# companion select), and the select is a two-step index→then→select flow this
# single-request runner cannot express. Issue #259 covers them in
# `tests/extract_index.rs` — the index response is matched there against
# `extract_html_index.json`, and the select's `body`/`links` value divergence
# (Wayfinder's own extraction, no fabricated `shape="rect"`) is asserted and
# documented per PRD divergence 10.
#
# interpretation note (stage 1, issue #258): the task spec's acceptance
# section says "all seven in-scope extract fixtures" for this file, in the
# same sentence that separately names "the corrupt-PDF 500 envelope" — read
# together, "seven" means the seven extractOnly=true SUCCESS captures, with
# extract_corrupt_pdf as an eighth, distinct case. This file includes
# extract_corrupt_pdf as an eighth row anyway: the differential harness
# is the one place that actually re-proves the 500 envelope end-to-end
# through the real multipart route (the fixture-derived unit tests only
# assert it once), and the TSV format already carries a non-200 `status`
# column for exactly this shape (see `manifest-errors.tsv`). Excluding it
# would leave the harness with no live-mode coverage of the one response this
# issue is riskiest on. Flagged for the implementor/reviewer rather than
# silently guessed.
extract_plain_text_xml	200	content/update/extract?extractOnly=true&resource.name=sample.txt&wt=json	file	sample.txt
extract_plain_text_text	200	content/update/extract?extractOnly=true&extractFormat=text&resource.name=sample.txt&wt=json	file	sample.txt
extract_html_only_xml	200	content/update/extract?extractOnly=true&resource.name=sample.html&wt=json	file	sample.html	text/html
extract_html_only_text	200	content/update/extract?extractOnly=true&extractFormat=text&resource.name=sample.html&wt=json	file	sample.html	text/html
extract_latin1_text	200	content/update/extract?extractOnly=true&extractFormat=text&resource.name=sample-latin1.txt&wt=json	file	sample-latin1.txt
extract_utf8_bom_text	200	content/update/extract?extractOnly=true&extractFormat=text&resource.name=sample-utf8-bom.txt&wt=json	file	sample-utf8-bom.txt
extract_declared_charset_text	200	content/update/extract?extractOnly=true&extractFormat=text&resource.name=sample-latin1.txt&wt=json	file	sample-latin1.txt	text/plain; charset=ISO-8859-1
extract_corrupt_pdf	500	content/update/extract?extractOnly=true&extractFormat=text&resource.name=broken.pdf&wt=json	file	broken.pdf
# --- issue #294: PDF extractOnly fixtures (extractFormat=text) ------------
# Captured against solr:9.10.1 (see solr-ref/capture.sh's #261 block). The
# eight born-digital corpus files from #261 (solr-ref/extract-inputs/pdf-*.pdf).
# Six succeed (200), two error (500): pdf-encrypted (no password ->
# InvalidPasswordException, Wayfinder's decrypt also fails -> 500, a match)
# and pdf-malformed-objects (broken Flate stream: Tika 500, pdf-extract
# swallows empty -> 200, a recorded status divergence; see
# DIVERGENT_STATUS_MULTIPART). The bodies reconcile through
# normalize_extract's PDF branch (whitespace-insensitive token compare +
# six-envelope-key metadata filter); see ACCEPTED_DIVERGENCES_MULTIPART.
extract_pdf_embedded_font	200	content/update/extract?extractOnly=true&extractFormat=text&resource.name=pdf-embedded-font.pdf&wt=json	file	pdf-embedded-font.pdf	application/pdf
extract_pdf_ligatures	200	content/update/extract?extractOnly=true&extractFormat=text&resource.name=pdf-ligatures.pdf&wt=json	file	pdf-ligatures.pdf	application/pdf
extract_pdf_multicolumn	200	content/update/extract?extractOnly=true&extractFormat=text&resource.name=pdf-multicolumn.pdf&wt=json	file	pdf-multicolumn.pdf	application/pdf
extract_pdf_multipage	200	content/update/extract?extractOnly=true&extractFormat=text&resource.name=pdf-multipage.pdf&wt=json	file	pdf-multipage.pdf	application/pdf
extract_pdf_metadata_conflict	200	content/update/extract?extractOnly=true&extractFormat=text&resource.name=pdf-metadata-conflict.pdf&wt=json	file	pdf-metadata-conflict.pdf	application/pdf
extract_pdf_image_only	200	content/update/extract?extractOnly=true&extractFormat=text&resource.name=pdf-image-only.pdf&wt=json	file	pdf-image-only.pdf	application/pdf
extract_pdf_encrypted	500	content/update/extract?extractOnly=true&extractFormat=text&resource.name=pdf-encrypted.pdf&wt=json	file	pdf-encrypted.pdf	application/pdf
extract_pdf_malformed_objects	500	content/update/extract?extractOnly=true&extractFormat=text&resource.name=pdf-malformed-objects.pdf&wt=json	file	pdf-malformed-objects.pdf	application/pdf
# --- issue #260: office/ODF/RTF extractOnly fixtures ----------------------
# Captured against solr:9.10.1 (see solr-ref/capture.sh's #260 block).
# Tiny documents from solr-ref/extract-inputs/_gen_office.py. Each format has
# an xml (default XHTML) and a text row; `broken.*` are the malformed inputs
# that produce the captured 500 envelope (one per format, per acceptance).
# These rows diverge from Solr in a documented, normalized way: Wayfinder's
# metadata promise is narrow (title/author/created + the stream envelope),
# where Tika emits a rich format-specific metadata set. See
# ACCEPTED_DIVERGENCES_MULTIPART + normalize_extract's office handling in
# tests/differential.rs.
extract_docx_xml	200	content/update/extract?extractOnly=true&resource.name=sample.docx&wt=json	file	sample.docx	application/vnd.openxmlformats-officedocument.wordprocessingml.document
extract_docx_text	200	content/update/extract?extractOnly=true&extractFormat=text&resource.name=sample.docx&wt=json	file	sample.docx	application/vnd.openxmlformats-officedocument.wordprocessingml.document
extract_pptx_xml	200	content/update/extract?extractOnly=true&resource.name=sample.pptx&wt=json	file	sample.pptx	application/vnd.openxmlformats-officedocument.presentationml.presentation
extract_pptx_text	200	content/update/extract?extractOnly=true&extractFormat=text&resource.name=sample.pptx&wt=json	file	sample.pptx	application/vnd.openxmlformats-officedocument.presentationml.presentation
extract_xlsx_xml	200	content/update/extract?extractOnly=true&resource.name=sample.xlsx&wt=json	file	sample.xlsx	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
extract_xlsx_text	200	content/update/extract?extractOnly=true&extractFormat=text&resource.name=sample.xlsx&wt=json	file	sample.xlsx	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
extract_ods_xml	200	content/update/extract?extractOnly=true&resource.name=sample.ods&wt=json	file	sample.ods	application/vnd.oasis.opendocument.spreadsheet
extract_ods_text	200	content/update/extract?extractOnly=true&extractFormat=text&resource.name=sample.ods&wt=json	file	sample.ods	application/vnd.oasis.opendocument.spreadsheet
extract_odt_xml	200	content/update/extract?extractOnly=true&resource.name=sample.odt&wt=json	file	sample.odt	application/vnd.oasis.opendocument.text
extract_odt_text	200	content/update/extract?extractOnly=true&extractFormat=text&resource.name=sample.odt&wt=json	file	sample.odt	application/vnd.oasis.opendocument.text
extract_odp_xml	200	content/update/extract?extractOnly=true&resource.name=sample.odp&wt=json	file	sample.odp	application/vnd.oasis.opendocument.presentation
extract_odp_text	200	content/update/extract?extractOnly=true&extractFormat=text&resource.name=sample.odp&wt=json	file	sample.odp	application/vnd.oasis.opendocument.presentation
extract_rtf_xml	200	content/update/extract?extractOnly=true&resource.name=sample.rtf&wt=json	file	sample.rtf	application/rtf
extract_rtf_text	200	content/update/extract?extractOnly=true&extractFormat=text&resource.name=sample.rtf&wt=json	file	sample.rtf	application/rtf
extract_broken_docx	500	content/update/extract?extractOnly=true&extractFormat=text&resource.name=broken.docx&wt=json	file	broken.docx
extract_broken_pptx	500	content/update/extract?extractOnly=true&extractFormat=text&resource.name=broken.pptx&wt=json	file	broken.pptx
extract_broken_xlsx	500	content/update/extract?extractOnly=true&extractFormat=text&resource.name=broken.xlsx&wt=json	file	broken.xlsx
extract_broken_ods	500	content/update/extract?extractOnly=true&extractFormat=text&resource.name=broken.ods&wt=json	file	broken.ods
extract_broken_odt	500	content/update/extract?extractOnly=true&extractFormat=text&resource.name=broken.odt&wt=json	file	broken.odt
extract_broken_odp	500	content/update/extract?extractOnly=true&extractFormat=text&resource.name=broken.odp&wt=json	file	broken.odp
extract_broken_rtf	500	content/update/extract?extractOnly=true&extractFormat=text&resource.name=broken.rtf&wt=json	file	broken.rtf
# Issue #274 -- json.nl named-list shapes on extractOnly (plain text, default
# xml extractFormat). The flat baseline is `extract_plain_text_xml` (#171);
# these three vary only json.nl. `file` and `responseHeader` are unaffected by
# json.nl (finding 128); only `file_metadata` reshapes, so the rows use the
# same plain-text input as the baseline.
extract_plain_text_json_nl_map	200	content/update/extract?extractOnly=true&resource.name=sample.txt&wt=json&json.nl=map	file	sample.txt
